state,status,notes
Alabama,verification_complete,candidate + verification
Alaska,not_started,
Arizona,verification_complete,candidate + verification
Arkansas,not_started,
California,verification_complete,candidate + verification
Colorado,verification_complete,candidate + verification
Connecticut,verification_complete,candidate + verification
Delaware,verification_complete,candidate + verification
Florida,verification_complete,candidate + verification
Georgia,verification_complete,candidate + verification
Hawaii,not_started,
Idaho,not_started,
Illinois,verification_complete,candidate + verification
Indiana,verification_complete,candidate + verification
Iowa,verification_complete,candidate + verification
Kansas,verification_complete,candidate + verification
Kentucky,verification_complete,candidate + verification
Louisiana,not_started,
Maine,verification_complete,candidate + verification
Maryland,verification_complete,candidate + verification
Massachusetts,verification_complete,candidate + verification
Michigan,verification_complete,candidate + verification
Minnesota,verification_complete,candidate + verification
Mississippi,not_started,
Missouri,verification_complete,candidate + verification
Montana,not_started,
Nebraska,verification_complete,candidate + verification
Nevada,verification_complete,candidate + verification
New Hampshire,verification_complete,candidate + verification
New Jersey,verification_complete,candidate + verification
New Mexico,verification_complete,candidate + verification
New York,verification_complete,candidate + verification
North Carolina,verification_complete,candidate + verification
North Dakota,verification_complete,candidate + verification
Ohio,verification_complete,candidate + verification
Oklahoma,not_started,
Oregon,verification_complete,candidate + verification
Pennsylvania,verification_complete,candidate + verification
Rhode Island,verification_complete,candidate + verification
South Carolina,verification_complete,candidate + verification
South Dakota,verification_complete,candidate + verification
Tennessee,verification_complete,candidate + verification
Texas,verification_complete,candidate + verification
Utah,verification_complete,candidate + verification
Vermont,not_started,
Virginia,verification_complete,candidate + verification
Washington,verification_complete,candidate + verification
West Virginia,not_started,
Wisconsin,verification_complete,candidate + verification
Wyoming,not_started,
District of Columbia,not_started,
